name,color
Liubov Yeremicheva,#e32636
Ukraine,#5d8aa8
NASA,#6f0
Scotland,#5d8aa8
CNN,#6f0
Syria,#5d8aa8
Madonna,#e32636
US,#5d8aa8
Harold Ramis,#e32636
Uganda,#5d8aa8
Venezuela,#5d8aa8
Yaryna Pochtarenko,#e32636
Russia,#5d8aa8
Arizona,#5d8aa8
Paul Rudd,#e32636
United States,#5d8aa8
Obama,#e32636
UK,#5d8aa8
U.S.,#5d8aa8
Google,#6f0
Olympiakos,#6f0
 OXYMORON Justin Trudeau Tim,#e32636
Yanukovych,#e32636
BBC,#6f0
Microsoft,#6f0
Mesut zil,#e32636
Kiev,#5d8aa8
UN,#6f0
Borussia Dortmund,#6f0
Valencia,#5d8aa8
Dailychart,#e32636
EU,#6f0
Bitcoin,#e32636
Paul,#e32636
Linda McCartney,#e32636
Joey Essex,#e32636
London,#5d8aa8
Bahrain,#5d8aa8
Lena Dunham,#e32636
Michael Gove,#e32636
Nokia,#6f0
California,#5d8aa8
Justin Timberlake,#e32636
Reuters,#6f0
Merkel,#e32636
Benjamin Netanyahu,#e32636
Facebook,#6f0
Netanyahu,#e32636
Liverpool,#6f0
Zenit St Petersburg,#5d8aa8
Samsung,#e32636
Angela Merkel,#e32636
Hiddy,#e32636
Putin,#e32636
Asiana Airlines,#6f0
John,#e32636
Pentagon,#6f0
Kristen,#e32636
Rose Garden,#e32636
Everton,#6f0
Samsung,#6f0
Justin Trudeau,#e32636
China,#5d8aa8
Pak,#e32636
Franny Beecher,#e32636
Bill Haley,#e32636
Venezuela Ukraine,#5d8aa8
Richard Cheese,#e32636
Mongolia,#5d8aa8
Moazzam Begg,#e32636
Hitler,#e32636
Dortmund,#e32636
Mt. Gox,#5d8aa8
Mario Coluna,#e32636
Andy,#e32636
D. Dimbleby,#e32636
Zoe Williams,#e32636
Crimea,#5d8aa8
Nigeria,#5d8aa8
Great California,#5d8aa8
Egypt,#5d8aa8
AP Supreme Court,#6f0
New York City,#5d8aa8
Vitali Klitschko,#e32636
USA,#5d8aa8
George Harrison,#e32636
RollingStone Beyonc,#e32636
Netflix,#6f0
Jonathan,#e32636
Poland,#5d8aa8
